BUNNumber,SiteName
3400828,Cranbourne East Central
3400163,Kojonup South
3500381,Gladstone North
3500619,Clinton
3500622,Kalka
3500398,Kalapa
3500815,Fingal
3500574,Kin Kora
3200349,George Town VF
3501163,Piangil
3502818,KIPPA RING RAIL
3501219,Manangtang
3501400,Booroopki
3200567,Middle Range Hill VF
3500028,Balaklava
3501742,Belrose
3501862,Berowra
3200480,Mt Larcom VF
3502662,Donnybrook 2
3501984,Comberton
3500211,McLaren Flat
3501987,Bomaderry
3502037,Nowra Hill Central
3502038,Nowra South Hospital
3502078,POINT ROAD
3502137,Nowra South
3502160,Douglas Park
3502672,Alfredton Reserve
3502171,Mulgoa East
3502178,Asquith Station
3502189,Picton Road 2 - Wollongong
3502271,Bathurst V8
3502282,Running Stream
3502296,Rockley
3502339,Nowra West
3502457,Casey Stadium
3502558,Yarwun
3400532,Westmead UWS Campus
3000313,Armadale
3503166,Diddillibah
3400555,Mount Tassie 90m
3502862,WATTLE FLAT
3401216,Kilsyth South
3502648,Norman Gardens East
3500448,West Gladstone
3502859,ORCHARD HILLS NORTH
3502941,Oak Flats - Dunmore Railway
3503049,Bomaderry Plaza
3000599,Thredbo
3501876,Mitchell
3000162,Mt Kanigan
3501259,Alexandra East
3501223,Wodonga West
3501878,HAWKER
3000557,Katoomba
3000346,Eildon
3000322,Wangaratta
3000635,Dee Why
3503273,Beenleigh East
3000340,Springhurst
3000575,Taree
3000619,Kellyville
3000671,Red Hill (ACT)
3000657,Blayney
3000662,Glossodia
3000665,Deakin
3000674,Isaacs Ridge
3000685,Cattai Ridge Road
3000697,Cattai
3200007,Weston VF
3000710,Carnes Hill
3200078,Ingleburn VF
3000773,Greghamstown
3000774,Burnt Yards
3200117,Camden VF
3500224,Happy Valley South
3200011,Fadden VF
3200197,Westleigh VF
3502599,WUDINNA CENTRAL
3502987,Munno Para West
3200331,Mt Glenrowan VF
3502264,Frederickton
3200080,Ryde VF
3500186,FOUNTAIN
3400024,Learmonth
3300264,North Ryde
3200108,Lawson VF
3200191,Winston Hills VF
3200562,Woodside VF
3500156,Owen
3501327,Lake Mountain
3500391,Woodford West
3500717,D aguilar
3200508,Mt Benson VF
3502200,Kempsey North
3500992,Barnawartha Township
3501034,Taggerty
3501042,Mansfield Central
3501048,Waldara
3501138,Corryong
3501213,Tallangatta
3501267,Corryong Town
3501305,Baranduda Range
3500288,Moranbah Southwest
3500099,Moonta Bay North
3501376,Whitfield
3501398,Wangaratta Nth West
3501409,Goroke
3400111,Owen
3501445,Tangambalanga
3500102,Tailem Bend East
3501823,North Baulkham Hills
3501855,ELS Hall Park
3400228,Bouvard
3400120,Eudunda
3502014,Baranduda
3502147,Chapman
3502165,The Oaks
3502248,COLO HEIGHTS
3502318,Millthorpe
3502328,HillEnd
3502331,Thredbo CBD
3502333,Wodonga Biralee
3502347,Eglinton
3400834,Yarralumla ALT
3502352,Normanhurst West
3502539,FRANCESCO CRESENT
3501410,King Valley
3502603,ROCK FOREST
3503181,RHYNIE
3501992,Kenthurst North -O
3501031,Mt Baw Baw
3000042,Seppeltsfield Southcorp Winery
3501134,Mt Dom Dom
3501030,NOOJEE
3500087,Mount Gambier Airport
3000756,Port Augusta West
3500079,Port Hughes
3000174,Shute Harbour
3500488,SugarLoaf
3502023,Tamworth East Piper Street
3000230,The Caves
3000658,Uralla
3500312,West Hill
3502350,MQU_Campus-O
3502597,CRAIG AVENUE
3502986,Strathalbyn South
3501211,Ballarat West
3000567,Dudley
3501563,Secret Harbour
3501980,Blacksmith
3502170,Mt Hutton
3502746,Gateshead
3200577,Howard Springs VF
3501879,Caves Beach West
3200050,St Ives VF
3501532,Southern Cross
3501621,Wongan Hills
3501634,Kalannie
3501636,Moorine Rock
3501637,Burracoppin East
3502478,CADOUX
3502480,KOOMBERKINE NORTH
3500809,MILTON VINEYARD
3500840,Bridport
3500813,Scamander
3500814,St Marys
3502740,GHOOLI
3500816,Swansea
3000242,Launceston North
3500803,Hadspen
3500805,RAVENSWOOD EXCHANGE
3500851,Symmons Plains
3200082,Northmead VF
3502286,Cumnock
3500490,Benair
3000049,Eden Valley
3000318,Bendigo
3000358,Portland
3500791,Forth
3000661,Medowie
3200031,Ashfield 2 VF
3200109,Faulconbridge VF
3200133,Cardiff VF
3251589,Orbost
3252092,Bendigo South
3400100,Port Fairy 1
3400104,Mt Clay
3400105,Jones Ridge
3400108,St Helens
3400109,Mt Tauras
3400262,Mt Warrnambool 2
3400502,Mount Clay-35m
3500738,Nanango
3500763,Knuckey Lagoon
3500771,Coconut Grove
3500777,Bakewell
3500790,Latrobe Central
3000176,Kingaroy
3500462,Kingaroy Central
3500870,LaTrobe
3500920,Waygara
3501012,Hummocks
3501032,GLENMAGGIE
3501290,TYRENDARRA
3501352,Marlo
3501378,Cashmore
3501384,Portland 2
3501420,Port Fairy Central
3501465,Bendigo Central
3501838,Singleton North
3501839,Singleton South East
3501873,Maryland
3501908,Brunkerville
3501911,Mickibri
3502136,West Belford
3502180,Belmont South
3502183,Cardiff
3501288,Point Danger
3502242,Mumbil
3502283,Cargo
3502297,Stuart Town
3502299,Tullamore
3502330,Pt Macq Water Res
3502353,West Wallsend
3502367,Weston NSW
3502619,Golden Square
3502724,Bennets Green
3501287,Portland North
3200045,Balmain VF
3200106,Springwood (NSW) VF
3501185,Orbost
3501208,Mount Richmond
3501216,Nirranda South
3502194,Warners Bay
3502208,Yeoval
3502560,Branxton Greta South
3000398,Hurtsbridge
3501209,Sebastopol
3501001,Delacombe
3502671,Alfredton South
3400070,Yorketown (Agile)
3200255,Brighton East VF
3502436,YUNTA
3200510,Waikerie VF
3501412,McLoughlins Beach
3501683,Neaves Rd East
3501691,Stirling
3502290,Graman
3501170,Bellbrae South
3200324,Wandong VF
3501196,Welshpool
3502202,Coolah
3500154,Mt Barker CBD
3000681,Fairview
3200180,Sugarloaf Mountain VF
3000305,Fitzroy
3000411,Clifton Hill
3502274,One Tree Hill ACT
3000189,Rothwell
3000295,Brunswick
3500049,Verdun
3500688,Rathdowney
3501106,Phillip Island GP Track
3400019,Woolomin
3000227,St Lawrence
3500400,MOUNT BENN
3501234,Latrobe Uni East
3000565,Kangy Angy
3502447,HILL RIVER SOUTH
3502209,Kandos/Rylstone
3501619,Badgingarra
3400125,Bruthen
3500810,COOMBEND ESTATE
3502735,CRAY CT
3000129,West End
3000079,Buranda
3000081,MacGregor
3000094,Red Hill (Qld)
3500259,River Terrace
3500304,The Gap East - O
3000308,Glen Iris
3000312,Southbank
3000383,Keysborough Shopping Centre
3000419,Murrumbeena
3200058,Hornsby VF
3200070,Oxford Falls VF
3200077,Pymble VF
3200084,Turramurra Shops VF
3200198,Macquarie Park M2 VF
3400210,The Junction
3500880,Campbellfield
3500985,Sunshine Exchange
3501057,Woodend
3501460,Thompson Parkway SC
3501524,East Cannington
3501946,Mount Annan
3502277,Wicks Rd
3502832,Tarneit South
3501115,Skye Central
3200150,Goonellabah VF
3200399,Warana VF
3200147,Broken Hill VF
3501690,Bulgarra
3000032,Naracoorte
3000168,Mt Isa
3000173,Emerald
3000324,Camp Hill (Vic)
3000332,Creightons
3000344,Lakes Entrance
3000495,Kalgoorlie
3000504,Carnarvon
3000600,Perisher
3000677,Kianga
3000750,Bredbo
3000777,Tooborac
3200333,Sale VF
3200479,Gin Gin VF
3200630,Kambalda VF
3200632,Mt Godard VF
3251530,Tocumwal
3400566,City Lookout
3400590,Timbury Hills
3500077,Roxby Downs Airport BTS
3500136,Tumby
3500139,Streaky Bay
3500145,Minnipa
3500168,Macgillivray
3500382,Great Keppel Island
3500180,Parndana
3500322,Ernest Henry Village
3500406,Cloncurry
3500465,Port Douglas Marina
3500466,Port Douglas Ramada
3500696,Wondai
3501642,Karratha Industrial
3500826,Queenstown
3500850,Waratah Tas
3500864,Newstead
3501574,Kalgoorlie West
3501640,Cable beach
3501679,Rottnest West
3501915,Bourke
3502571,CDU Katherine
3300465,Leopold
3400162,Moresby Range
3400310,Nambung
3400324,Canley Vale (EJV)
3400528,Mt Madden
3400948,Yanchep GC
3401191,Maddingley West
3502381,Colac South
3502540,Fannie Bay West
3502647,Burdell
3502706,Lake Albert South
3502716,Carnegie Rail
3503019,Sunbury South Central
3503045,Dubbo Wellington Rd
3503083,Wimbledon Heights
3500994,12 Apostles
3500830,Alonnah
3501558,Anniebrook
3501146,Baddaginnie
3500912,BARKLY ST WAHGUNYAH
3503272,Bonville
3501671,Broadwater WA
3501783,Broulee
3500818,Buckland
3501402,Bundalong
3501512,Busselton East
3501702,Capel Replacement
3200660,Carbunup VF
3000606,Cooma
3502065,Cooma North
3500819,Copping
3200661,Cowaramup VF
3000676,Cullendulla
3500147,Cummins
3501918,Denhams Beach
3500868,Devon Hills
3400227,Dunsborough South
3501565,Eagle Bay
3502237,Emerald Beach
3000008,Sheidow Park
3000016,Willunga
3501145,Euroa North
3000026,Lochiel
3000063,Marion East
3000116,Henley Hill
3000127,Mt Gravatt East
3000158,Byron View
3000167,Ayr
3000236,Howard Springs
3000237,Mt Direction
3000279,Bacchus Marsh
3000292,Black Rock
3000329,Derrimut
3000342,Loka
3000349,Flinders
3000352,Anglesea
3000353,Lorne
3000356,Colac
3000360,Echuca
3000363,Holbrook
3000365,Kyabram
3000395,Humphreys Hill
3000412,Little River
3000430,Deer Park Central
3000449,Clayton North
3000466,City Beach
3000476,Munster
3000488,Koondoola
3000511,Newport NSW
3000516,Balgowlah
3000549,Toongabbie
3000553,Freestone
3000554,Goulburn
3000564,Kincumber
3000569,Broken Back
3000570,Gan Gan (NSW)
3000571,Gan Gan (NSW) 2nd site
3000572,Nerong
3000580,Woolgoolga
3500113,FARM BEACH
3000598,Eden
3000601,Mundoonen
3000602,Yass
3000604,Gundagai
3000633,Maitland
3000663,Bellingen
3000678,Glenugie
3000698,Henty
3000733,South Bellevue
3000740,East Arm
3000748,The Rock
3200035,Londonderry VF
3200051,Frenchs Forest VF
3200059,Bilgola VF
3200129,Mt Nelinda VF
3200135,Murwillumbah VF
3200136,Raymond Terrace VF
3200139,Telarah VF
3200140,Rothbury VF
3200153,Tumut VF
3200162,Mullumbimby VF
3200163,Burringbar VF
3200164,Curlewin VF
3200169,Black Trig VF
3200170,Bijengum VF
3200172,Mt Raven VF
3200175,Cobargo VF
3200179,Springvale VF
3200184,Gibraltar
3200185,Livingstone Hill VF
3200186,Harnett Trigg VF
3200211,Jan Juc VF
3200214,Somers VF
3200215,Little River VF
3200221,Mount Moriac VF
3200231,Cowes VF
3200270,St Albans South VF
3200297,Drysdale VF
3200313,Red Hill South VF
3200315,Point Leo VF
3200319,Benalla VF
3200321,Maryborough VF
3200322,Eaglehawk VF
3200332,Mt Lady Franklin VF
3200339,Cambridge VF
3200342,Opossum Bay VF
3200346,New Norfolk VF
3200347,Lauderdale VF
3200350,Sorell VF
3200353,Mt Faulkner VF
3200433,Minden VF
3200462,Mossman VF
3200463,Mingela VF
3200464,Macrossan VF
3200484,Baratta VF
3200549,Moon Hill VF
3200574,Marrara VF
3200576,Humpty Doo VF
3200579,Berry Springs VF
3200604,Margaret River VF
3200664,Donnybrook VF
3200665,Manjimup VF
3200682,Lennox Head
3250370,Rankin
3250468,Tall Pines
3500213,Glossop
3250841,Richmond
3251507,Junee
3251525,Newell Hwy 14
3251535,Collingullie
3251550,Halfway Creek (Solar)
3251578,Tallabung Mountain
3251584,Grasstree
3251594,Nagambie
3251601,Cobram
3251605,Deakin University
3251606,Wallan
3251658,El Arish
3252270,Seacliffe Park
3300130,Cranbourne
3300135,Balnarring
3300140,Little River
3300151,Drysdale
3300153,Connewarre
3300466,Portarlington
3400057,Camel Hill (Agile)
3400082,Black Hill (Agile)
3400090,Cobbora
3400097,Mt Shadwell 1
3400098,Mt Shadwell 2
3400102,Hicks Hill
3400103,Warrnambool (Vic Park)
3400107,Port Campbell
3400110,Teringle Tower (adelaide hills)
3400118,Macaw Hill
3400119,Peters Hill
3400174,Mt Brokenback
3400183,Springbrook Lookout
3400224,Port Geographe
3400232,Margaret River South
3400233,Clare QLD
3400313,Augusta Town
3400329,Mena Creek
3400361,Atherton North
3400422,Karridale (ALT-1)
3400474,Baringhup
3400536,Mt Cainbable
3400540,Bombala
3400543,Geneva Hill
3400546,Mount Broughton 24m
3400547,Mount Roberts
3400548,Mount Stuart 74.5m
3400549,Mount Stuart 62.1m
3400550,Mount Stuart 5.3m
3400564,Bruxner Park (Radio)
3400574,Mount Major 15m
3400576,Mount Major 5m
3400578,Mount Moombil 60m
3400586,Springbrook 40m
3400587,Springbrook 24m
3400599,Point Lookout
3400601,South Grafton 21m
3400602,South Grafton 36m
3400932,Seaford Heights
3400934,Shoreham
3400943,West Tallebudgera
3401189,Edinburgh North
3500012,Spalding
3500024,Hallett
3500034,Regency Park
3500035,Old Reynella
3500037,Seaford
3500050,Mylor
3500051,Nairne
3500052,Upper Sturt
3500065,Morgan
3500068,Swan Reach
3500091,Noarlunga Station
3500093,Honeymoon
3500096,Georgetown
3500097,Woodchester
3500107,WINNINOWIE
3500120,PARUNA
3500142,Wirrabara
3500143,Laura SA
3500158,Carpenter Rocks
3500160,Bow Hill
3500177,Melrose
3500178,Montacute
3500218,Elizabeth Park
3500285,Chapel Hill
3500302,Currumbin South
3500310,Mission Beach South
3500326,The Gap North
3500350,Redcliffe
3502074,GUMLY GUMLY
3500384,Kooralbyn
3500386,Sleepy Hollow
3200187,Gygederick Hill VF
3500415,Deep Gorge
3500422,Chinderah
3500427,Gordonvale
3000359,Hamilton
3500445,B1066_Banyo West
3500451,Townsville CBD West
3500491,Dingo Pocket
3500493,Belvedere
3500502,TAMBORINE SOUTH
3500511,RUSSELL ISLAND 2
3500520,Cowley Replacement
3500525,Ipswich Sth
3500536,Hemmant
3500558,Walloon
3500562,Mountain Creek West
3500567,Bohle Plains
3500578,Centenary Park Sth
3500596,McLeod Hills
3500598,Annandale nth
3500610,Bluewater Park
3500611,Babinda CBD
3500618,Yuleba
3500627,Kirwan
3500628,Macleay Island
3500634,Gordonvale CBD
3500635,Kurrimine
3500636,Malanda
3500638,Mutchilba
3500655,Flying Fish Point
3500659,Forrest Beach
3500664,Coffs Harbour Commercial
3500665,Flinders View
3500683,Cape Tribulation
3500684,Condamine
3500687,Millaroo
3500690,Deeragun
3500691,Douglas
3500692,Wulguru
3500704,Clare
3500707,Lucinda
3500721,Clohesy
3500722,Kuranda
3500724,Silkwood
3500734,Jackadgery
3500737,Picnic Bay
3500747,Berrimah
3500752,Millner
3500757,Moil
3500758,Charles Darwin Uni
3500761,Litchfield
3500762,Wagait Beach
3500764,LAMBELLS LAGOON
3500765,Archer
3500766,Batchelor
3500768,Darwin River
3500770,Leanyer North
3500785,Somerset
3500798,Quoin Mt
3500804,YOLLA
3500848,Kettering
3500820,Dodges Ferry
3500823,Shefield
3500829,Nubeena
3500831,Hamilton TAS
3500833,Snug
3500835,Irishtown
3500837,National Park
3500841,Lindisfarne Water To
3500843,Bothwell
3500845,Edgcumbe Beach
3500849,Maydena
3500852,Miena
3500859,Firthside
3500869,Green point / Bridgewater
3500916,Peterborough
3500918,You Yangs
3500919,Hillside
3500921,Inverloch East
3500935,Tooradin
3500936,Creswick
3500943,Murchison Central
3500947,Bass Hill
3500948,Warracknabeal
3500955,Warragul Central
3500959,Lorne Central
3500963,Maddingley
3500983,Portarlington Beach -O
3500991,Highton
3500995,Allansford
3501000,Alfredton
3501004,Meredith
3501005,Cressy
3501006,Pura Pura
3501009,Branxholme
3501010,Macarthur
3501013,Sealake
3501016,Birchip
3501018,Wedderburn
3501020,Maldon
3501021,Castlemaine
3501022,Bagshot North
3501023,Wall Crossing
3501024,Rushworth
3501025,Barmah
3501026,Wonwondah
3501027,Pimpino
3501028,Lexton
3501033,Swanpool
3501035,Echuca South
3501036,New Gisborne
3501038,Kirwans Bridge
3501039,Kyneton West
3501040,Lake Wendouree North
3501041,Longerenong
3501045,Nagambie Township
3501050,Chewton
3501051,Clarkefield
3501052,Bacchus Marsh South
3501056,Yarrawonga East
3501060,Dingley Village
3501062,Derrimut North
3501084,Footscray East
3501087,Shepparton East
3501090,Derrimut
3501099,Pentland Hills Bridge
3501109,Gordon
3501112,Lang Lang
3501113,Tullamarine West
3501118,Torquay CBD
3501122,Wycheproof
3501123,Culgoa
3501126,Anderson Hill
3501128,Newhaven
3501131,Cape Schanck
3501141,Wandong
3501143,Mangalore
3501144,Longwood
3501154,Patho
3501155,Strathmerton
3501156,Axedale
3501158,Lancefield
3501159,Marong
3501160,Derby
3501162,Kardella
3501165,Hopetoun
3501166,Pyalong
3501169,Caramut
3500788,Legana
3501172,Strathdownie
3501174,Speed
3501176,Lismore
3501177,Darlington
3501179,Barwon Heads
3501180,Smythesdale
3501194,Gerang Gerung
3501195,Melton South
3501197,Mittyack
3501198,Yea Township
3501201,Dixie
3501202,Melton North
3501204,Flowerdale
3501210,Wendouree North
3501214,Woomelang
3501215,Rupanyup
3501220,Rainbow
3501224,Maryborough West
3501229,Cobden
3501230,Timboon
3501231,St Albans Park
3501232,Rosebud East
3501236,Brooklyn West-GF
3501249,Summerlands
3501250,Tongala
3501254,Lorne North
3501255,Inverloch West
3501256,Manor Station
3501257,Tuerong West
3501258,Dandenong West
3500821,Little Swanport
3501264,Chocolyn South
3501266,Wyuna
3501269,Laharum
3501270,Kyabram South
3501271,Clunes
3501272,Haddon North
3501273,St Leonards West
3501283,Ardmona
3501284,Whiteheads Creek
3501286,Cannons Creek
3501289,Jackass Flats
3501291,PARWAN NORTH
3501294,MITCHELL PARK
3501296,RIVALEA HUNTLY NORTH
3501298,ST ANDREWS BEACH
3501299,BENDIGO SHOWGROUND
3501301,WAUBRA
3501302,AMPHITHEATRE
3501303,LAKE MERAN
3501304,2 MACS FARMS
3501306,INGLISTON
3501307,RAVENSWOOD SOUTH
3501308,KYNETON 2
3501309,MACEDON 2
3501310,LONGWARRY
3501311,GARFIELD
3501312,EAST WARRAGUL
3501315,LANGI KAL KAL PRISON
3501316,CALDER HIGHWAY (SITE 1)
3501317,GRENVILLE
3501318,BARFOLD
3501319,GRAYTOWN
3501320,TOOLLEEN
3501328,Glenburn Replacement
3501330,Waurn Ponds
3501336,Highton West
3501339,Ballan
3501343,WERRIBEE CEMETERY-O
3501345,ST ALBANS WEST-O
3501347,Balmoral Park -O
3400231,Margaret River North
3501354,Lockington
3501356,Ultima
3501357,Minyip
3501360,Huntly
3501362,Ballarat North
3501364,Drouin
3501366,Mt Macedon central
3501367,Maiden Gully
3501368,Dalyston
3501369,Barooga
3501373,ALMONDS
3501374,KATAMATITE
3501379,Dingee
3501381,Rhyll
3501382,Warneet
3501383,Clifton Springs
3501385,Winchelsea Town
3501386,Creswick Central
3501387,Riddels Creek
3501389,Garfield-Bunyip
3501390,Snake Valley
3501391,Murtoa
3501392,trentham
3501393,Newstead
3501396,Merrigum
3501397,Tallygaroopna
3501399,Beulah
3501403,Powers Creek
3501404,Byrneville
3501405,Chillingollah
3501408,Goldsborough
3501411,Lorquon West
3501413,Mitiamo
3501416,Simpson
3501417,St Germains
3501421,Strathfieldsaye Vic
3501422,Lavers Hill
3501423,Yuulong
3501450,Stonehaven
3501452,Durdidwarrah
3501453,Corinella
3501454,Junortoun
3501463,Rokewood
3501464,Aus Automotive Research Centre
3501466,Eureka
3501467,Strathdale
3501483,Notting Hill Replacement
3501487,Safety Beach Central
3501490,Brookfield
3501492,Elmore Central
3501494,Indented Heads
3501509,Picton
3501526,Woodvale
3501528,Mt Oakover
3502070,MERRINDAL PARK
3501544,Yangebup
3501564,Muchea
3501567,Witchcliffe
3501572,Yanchep East
3501584,Burnside
3501590,Redgate
3501628,Dwellingup
3501630,Boyup Brook
3501632,Boyanup
3501644,Eaton
3501650,CHITTERING
3501658,Capel East
3501668,Bunbury Central
3502036,Moruya Central
3501674,Baldivis South
3502116,Moruya Town
3501925,Mossy Point
3501685,Port Geographe
3501698,Wanneroo North
3501710,Alkimos
3501719,Eglinton
3501745,Suffolk Park
3501748,Harrington
3501779,Thornton
3501802,Cosgrove Hill
3501900,Finley
3501905,Nords Wharf
3501907,Goolgowi
3501912,Corobimilla
3501914,Trangie
3501924,Forbes South
3501993,Mulwala
3501969,Symonston
3502018,Muswellbrook South
3501995,Winders Hill -O
3501996,Forster Stockland
3501999,Batemans Bay Edgewood
3502003,Muswellbrook Central
3502007,Cowra CBD
3502011,Jerrys Plains
3502019,Jindera
3502021,Scone Race Course
3502022,Seaham
3502026,Wagga Showgrounds
3502027,Wisemans Ferry Rd
3200534,Nuriootpa VF
3502031,Taree North
3501926,Old Bar
3502049,Murwillumbah West
3502055,Gillieston Heights
3502057,Lake Cargelligo Central
3502062,Toothdale
3502063,Angledale
3502064,Stroud Town
3502029,Old Bar Township
3500226,Olympic Dam
3502071,BOOKHAM
3502073,ABERDEEN
3500802,Orford
3502076,BONGALONG
3502077,RIVALEA REDLANDS
3502085,TEMORA WEST
3502086,TRUNGLEY HALL
3502087,SPRINGDALE
3502095,RAVENSWORTH FARM-O
3502104,MT MARY
3502105,ANEMBO
3502106,MOUNT BODANGORA
3502107,ROUCHEL BROOK
3502129,Mt Majura
3502146,Lambton
3502157,Russell Offices
3502158,Narellen Town Centre
3502167,Paddys River
3502168,Towrang
3502175,Burdekins Gap
3500577,Pine Creek
3502187,Greenwich South
3502196,Tamarang Town Repeater
3502203,Manilla
3502231,Manildra
3502211,Lockhart
3502212,Barellan
3502213,Tharbogang
3502214,Yenda
3502215,Rappville
3502217,Bonalbo
3502218,Glenreagh
3502222,Mt Douglas
3502223,Adelong
3502227,Nana Glen
3502228,Coleambally
3502230,Barmedman
3502232,Ulan
3502235,Byron Bay Industrial
3502238,Mullumbimby CBD
3502244,Urbenville
3502247,Stroud
3502249,Urana
3502251,Womboota
3502253,Copmanhurst
3502254,Culcairn
3502255,Oaklands
3502260,Holbrook Town
3502263,Yanco
3502268,Coffs West
3502280,Adaminaby
3502289,Ganmain
3502298,Tamarang Town
3502300,Uki
3502304,Wyangala
3502305,Yarramalong
3502322,Narriah Mountain
3502323,Rankins Springs
3502324,Beelbangera
3502325,Mangoplah
3502327,Ariah park
3502334,Singleton Central
3000006,Elizabeth South
3502369,Lloyd
3502420,Willunga East
3502423,MITCHELL PARK NORTH
3502428,Thurgoona North
3502432,Mt Isa North
3502450,ROSEWOOD NSW
3502451,Griffith Murrumbidgee Ave
3502460,Armstrong Creek South
3502463,Melton North West
3502486,LANKEYS CREEK
3502494,POORAKA NORTH
3502537,North Narooma
3502559,Moonee Beach
3502312,Amaroo
3200005,Belconnen VF
3502563,SANDIGO STURT HWY
3502564,Tuerong
3502567,Wonthaggi North
3502573,Girraween
3502575,COUANGALT ROAD
3502579,Arrawarra Headland
3502580,Wingham Central
3502582,Waterview Heights (Grafton)
3502584,Junee West
3502586,Millers Forest
3502598,Heathridge
3502600,YARRABAH SOUTH
3502602,TANJA
3502645,Rosslea East
3502657,Edmonton South
3502751,Elizabeth Field
3502752,Mansfield Park
3502763,Truganina East
3502764,Marshall North
3502779,BILGOLA 2
3502793,Coburg North2
3502794,GUNN POINT
3502795,MURDANNA EAST
3502796,PROSSER RIVER
3502797,COLEBROOK
3502802,MT BRUNO
3502803,NELSON VIC
3502816,Banora Point East
3502820,Redbank Plains West
3502876,Dianella South
3502930,Carrum Downs Industrial
3503085,Moama
3503196,Alkimos Central
3503267,Mount Duneed North
3503268,Harrison School
3500025,Port Macdonnell
3501353,Princetown
3500057,Renmark North
3500789,Sassafras Tas
3503262,Taree Cundletown
3500817,Triabunna/Orford
3501300,WINTON RACEWAY
3500822,Woodbridge
3501889,Woolgoolga Central
3500185,Yinkanie
3502262,Yoogali North
